siteID,lat,long,GPS
21,18.321313,-65.817005,NWF
22,18.32125,-65.817033,NWF
23,18.32127,-65.817037,NWF
24,18.321336,-65.817006,NWF
25,18.321138,-65.817038,NWF
26,18.321163,-65.817079,NWF
27,18.321163,-65.817106,NWF
28,18.321202,-65.817065,NWF
29,18.321207,-65.817033,NWF
30,18.321242,-65.81698,NWF
31,18.321303,-65.817068,NWF
32,18.321302,-65.817054,NWF
33,18.32128,-65.817037,NWF
34,18.321297,-65.817015,NWF
35,18.32134,-65.81699,NWF
36,18.321189,-65.816972,NWF
37,18.321295,-65.816972,NWF
38,18.321297,-65.817006,NWF
23,18.321145,-65.817013,shrimp
24,18.3211,-65.817061,shrimp
25,18.321187,-65.817015,shrimp
26,18.321225,-65.816925,shrimp
27,18.321068,-65.816978,shrimp
28,18.321271,-65.8169,shrimp
29,18.321242,-65.816863,shrimp
30,18.321257,-65.816865,shrimp
31,18.321196,-65.816943,shrimp
32,18.321358,-65.816926,shrimp
33,18.321408,-65.816951,shrimp
34,18.321198,-65.817069,shrimp
35,18.321243,-65.817002,shrimp
36,18.321232,-65.816973,shrimp
37,18.321243,-65.817003,shrimp
38,18.321339,-65.816991,shrimp
39,18.320327,-65.82506,shrimp
40,18.320608,-65.825025,shrimp
