VEMCO DATA LOG,2.0.0,fathom_connect-4.0.2-20240717-2071e7-release,vdatapi-10.6.0-20240716-1903df-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Channel,Detection Type,Frequency (kHz),Blanking (ms),Map ID,Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Channel,Detection Type,Full ID,ID,Raw Data,Transmitter Serial,Signal Strength (dB),Noise (dB),Gain (dB),Quality Score,Station Name,Latitude,Longitude,GPS HDOP
DET_FILTER_DESC,Filter Name,Details,Rejected Detections
DET_SENS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Channel,Detection Type,Full ID,ID,Raw Data,Transmitter Serial,Signal Strength (dB),Noise (dB),Gain (dB),Quality Score,Station Name,Latitude,Longitude,GPS HDOP,Transmitter Type,Sensor Function,Sensor Value,Sensor Unit,Sensor Precision,Definition Source
DIAG_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise Mean (mV),Tilt (deg),Depth (m),PPM Pings,PPM Detections
DIAG_FAST_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise (mV),Tilt (deg),Depth (m)
DIAG_HR2_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg),HR Noise (dB),HR Accepted Detections,HR Rejected Detections,PPM Pings (D1),PPM Detections (D1),PPM Pings (D2),PPM Detections (D2),PPM Noise (dB)
EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Type,Subtype,Description,Values,,,,,,,Latitude,Longitude,GPS HDOP
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_HR2_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Line Voltage (V),Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,HR2-180 461356 2024-07-29 173639.vdat,04773086-3519-4f4b-a8bb-26d9e83c8277,com.vemco.file.vrdp.vrhr2/1.0.0,53189,ORIGINAL
EVENT_INIT,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,2024-07-28 12:58:03,UTC-04:00,1.1.1
CLOCK_REF,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,2024-07-28 12:58:03,0,INITIALIZATION
CFG_CHANNEL,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,1,PPM DIGITAL,180,100,MAP-414,
CFG_CHANNEL,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,2,PPM ANALOG,180,100,MAP-414,
CFG_CHANNEL,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,3,HR,170,,,H170-1802
CLOCK_SET,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,2024-07-28 12:58:03.531127,-0.531127,COMMAND
EVENT,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,RECORDING_RESUMED,,APP=1.1.1/414/1802,,,,,,,,,,
BATTERY,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,,LITHIUM,650554,,23
EVENT,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,STORAGE_MODE_EXITED,,,,,,,,,,,,
CFG_TRANSMITTER,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,PPM,A180-1702-62356,62356,DISABLED,270,330
CFG_TRANSMITTER,2024-07-28 12:58:03,2024-07-28 12:58:03,,0,HR2-180,461356,HR,H170-1802-62356,62356,DISABLED,25,35
DIAG_HR2,2024-07-28 13:00:00,2024-07-28 12:59:59.999564,,-0.000435729,HR2-180,461356,88,20,0,2,0,0,0,0,12
TEMP,2024-07-28 13:00:00,2024-07-28 12:59:59.999564,,-0.000435729,HR2-180,461356,27.5,27.8
ATTITUDE,2024-07-28 13:00:00,2024-07-28 12:59:59.999564,,-0.000435729,HR2-180,461356,88
DET,2024-07-28 13:03:52.186477,2024-07-28 13:03:52.185176,,-0.001300433,HR2-180,461356,3,HR,H170-1802-62358,62358,,,39,21.9,,5,,,,
DET,2024-07-28 13:05:56.563659,2024-07-28 13:05:56.561895,,-0.001763635,HR2-180,461356,3,HR,H170-1802-62358,62358,,,38.2,21.9,,4,,,,
DET,2024-07-28 13:06:25.314071,2024-07-28 13:06:25.3122,,-0.001870707,HR2-180,461356,3,HR,H170-1802-62358,62358,,,38.1,22,,5,,,,
DET,2024-07-28 13:07:27.814727,2024-07-28 13:07:27.812623,,-0.002103470,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37.9,21.7,,3,,,,
DIAG_HR2,2024-07-28 13:10:00,2024-07-28 13:09:59.997329,,-0.002670235,HR2-180,461356,88,20,4,8,4,0,3,0,12
TEMP,2024-07-28 13:10:00,2024-07-28 13:09:59.997329,,-0.002670235,HR2-180,461356,28.2,28.3
ATTITUDE,2024-07-28 13:10:00,2024-07-28 13:09:59.997329,,-0.002670235,HR2-180,461356,88
DET,2024-07-28 13:11:29.693618,2024-07-28 13:11:29.690613,,-0.003004270,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37.9,22.1,,5,,,,
DET,2024-07-28 13:13:54.070632,2024-07-28 13:13:54.06709,,-0.003541956,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37.5,21.8,,8,,,,
DET,2024-07-28 13:14:25.321166,2024-07-28 13:14:25.317507,,-0.003658338,HR2-180,461356,3,HR,H170-1802-62358,62358,,,36.9,21.8,,8,,,,
DET,2024-07-28 13:14:52.821685,2024-07-28 13:14:52.817924,,-0.003760755,HR2-180,461356,3,HR,H170-1802-62358,62358,,,34.3,21.4,,10,,,,
DIAG_HR2,2024-07-28 13:20:00,2024-07-28 13:19:59.995095,,-0.004904741,HR2-180,461356,100,20,4,4,6,0,4,0,12
TEMP,2024-07-28 13:20:00,2024-07-28 13:19:59.995095,,-0.004904741,HR2-180,461356,28.6,28.8
ATTITUDE,2024-07-28 13:20:00,2024-07-28 13:19:59.995095,,-0.004904741,HR2-180,461356,100
DIAG_HR2,2024-07-28 13:30:00,2024-07-28 13:29:59.99286,,-0.007139248,HR2-180,461356,93,20,0,4,0,0,0,0,12
TEMP,2024-07-28 13:30:00,2024-07-28 13:29:59.99286,,-0.007139248,HR2-180,461356,28.7,29.2
ATTITUDE,2024-07-28 13:30:00,2024-07-28 13:29:59.99286,,-0.007139248,HR2-180,461356,93
DIAG_HR2,2024-07-28 13:40:00,2024-07-28 13:39:59.990626,,-0.009373754,HR2-180,461356,94,20,0,2,0,0,0,0,12
TEMP,2024-07-28 13:40:00,2024-07-28 13:39:59.990626,,-0.009373754,HR2-180,461356,28.7,29.2
ATTITUDE,2024-07-28 13:40:00,2024-07-28 13:39:59.990626,,-0.009373754,HR2-180,461356,94
DIAG_HR2,2024-07-28 13:50:00,2024-07-28 13:49:59.988391,,-0.011608260,HR2-180,461356,94,20,0,5,0,0,0,0,12
