"","Date.and.Time..UTC.","Transmitter","Receiver","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Statione.Name","Latitude","Longitude","Transmitter.Type","Sensor.Precision"
"1","2024-07-28 13:03:52.185176","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2024-07-28 13:05:56.561895","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2024-07-28 13:06:25.3122","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2024-07-28 13:07:27.812623","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2024-07-28 13:11:29.690613","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2024-07-28 13:13:54.06709","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2024-07-28 13:14:25.317507","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2024-07-28 13:14:52.817924","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2024-07-28 14:27:14.117506","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2024-07-28 14:33:52.87211","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2024-07-28 14:44:55.379805","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2024-07-28 14:46:51.007472","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2024-07-28 14:49:37.883681","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2024-07-28 14:51:29.760065","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2024-07-28 15:01:11.64187","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2024-07-28 15:02:09.142511","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2024-07-28 15:06:42.270674","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2024-07-29 15:53:56.997475","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2024-07-29 16:30:37.646354","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2024-07-29 16:50:13.28408","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2024-07-29 16:56:56.413499","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2024-07-29 17:08:04.545746","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2024-07-29 17:16:08.300978","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2024-07-29 17:40:00.816563","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2024-07-29 18:09:21.036159","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2024-07-29 18:09:36.03653","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2024-07-29 18:10:01.036986","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2024-07-29 18:10:16.037342","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2024-07-29 18:11:11.038862","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2024-07-29 18:14:51.041827","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2024-07-29 18:15:21.042569","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
